"","winrate","kda","avg_kills","avg_deaths","avg_assists","csm","gpm","dmg_pct","avg_dpm","vspm","avg_wpm","avg_wcpm","avg_vwpm","gd15","csd15","xpd15","fb_pct","fb_victim","solo_kills"
"405",0.478,0.754739606537665,1.0545809175899,-0.632965752445432,-0.555982272364313,1.02231879378982,1.0038515946695,0.610594216652152,0.143868447908799,-0.0473069826183737,-0.523486569488636,0.742490990603522,-0.472681253237689,-1.11892070490161,-0.991008736410563,-1.83765893213723,0.735711816516798,2.08265133044796,-0.835581689324423
"406",0.478,-0.573807622086866,-1.63385775964633,0.392240522208914,-0.374396092059018,0.51936538738273,0.19551627067917,0.428226718761252,0.187734843480906,-0.488951005319739,-0.447987709665972,-0.739534218394043,-0.775733037469779,-1.34307637461627,-1.60385548008876,-0.750940732554143,-0.262057580753534,-0.0457936798323157,-0.112664569542449
"407",0.477,-0.10881609206828,-0.0207945533045896,-0.519053944150504,-0.737568452669608,0.676538326884944,0.338163680795111,0.31424703257944,-0.243618046311488,-0.367118171471087,-1.45463917396816,-0.245525815394855,-0.472681253237689,1.06576067306362,0.694319808704476,0.577270400269634,-0.0241279552506085,-0.733445144692096,0.12830780371821
"408",0.476,0.0240386307941729,0.363268114872014,-2.34164287686934,0.805914079925399,-0.0464571948252401,-0.264125384138864,-0.175865618002351,-0.345972969313073,0.820751958553276,0.156003168915339,1.5658383289355,-1.45759955199198,0.463551411143646,1.00074318054357,0.943981891486973,1.32669830566922,0.871074939980725,-0.835581689324423
"409",0.476,-0.30809817636196,-0.0976070869399104,0.392240522208914,0.0795693587042194,-0.172195546427011,-0.422622506489909,-0.107477806293264,-0.411772562671235,0.66846091624246,-1.40430660075305,1.6481730627687,-0.0938665229475775,0.17248360121566,0.541108122784926,-0.178513038946589,1.69510546773827,-0.684327182916398,0.12830780371821
"410",0.476,-1.17165387496791,-0.481669755116514,-2.34164287686934,-1.19153390343285,0.707972914785387,0.132117421738751,0.97532921243395,0.677576260702778,-0.412805484164331,-0.347322563235754,-0.492530016894449,-0.472681253237689,-1.73785800187491,-1.60385548008876,-1.64983109517225,-0.868394368325504,-1.15913414674815,-0.353636942803107
"411",0.476,-0.440952899224413,0.440080648507335,0.506152330503842,-0.374396092059018,0.770842090586273,0.417412241970634,0.69037999697942,0.443622150984869,-0.473721901088658,-0.498320282881082,-0.163191081561656,-0.396918307179667,-0.412997625650978,0.0814730650262795,0.0808682597193337,0.0449483876373376,0.478131245775136,-0.233150756172778
"412",0.476,0.954021690831345,1.43864358576651,-0.29123032756065,0.261155539009514,0.676538326884944,0.496660803146157,0.69037999697942,0.502110678414346,-0.245285337622434,-1.45463917396816,-1.80988575822562,-1.60912544410802,-0.560204334120305,-0.991008736410563,0.107700807857188,-1.22912638118478,-0.684327182916398,0.12830780371821
"413",0.475,0.0240386307941729,0.209643047601373,-0.29123032756065,-0.510585727287989,0.833711266387158,0.655157925497203,-1.79437716178408,0.180423777552222,-0.30620175454676,-0.447987709665972,-0.327860549228053,-1.60912544410802,-0.131966636754992,-0.531373678651917,0.398386746017274,-1.48240630510725,0.576367169326534,0.12830780371821
"414",0.474,0.156893353656626,0.286455581236694,-0.29123032756065,-0.328999546982694,0.833711266387158,0.464961378675948,0.49661453047034,0.348578293911969,-0.382347275702168,-0.347322563235754,-0.492530016894449,-0.0181035768895551,-0.473218551842975,-0.224950306812818,-1.04609876207054,-0.223681834704675,-1.32286068600048,1.3331696700215
"415",0.474,-0.374525537793186,0.670518249413297,-2.34164287686934,-0.192809911753723,0.550799975283173,0.338163680795111,0.621992185270333,0.714131590346201,-0.412805484164331,-1.4294728873606,-0.821868952227241,-0.321155361121645,-0.59366040422697,-0.837797050491014,0.0540357115814796,-0.991196755681853,-0.176774911234179,0.851224923500184
"416",0.474,-0.30809817636196,-1.1729825578344,1.41744679686326,1.7592415265282,-1.46101365034517,-1.72229890976849,-0.962325452656854,-1.2379230126126,1.61266537856952,2.09380723769704,0.0838131199379377,1.42139239821287,-0.433071267714977,-0.0717386208932695,-0.835910468324014,0.421030698916155,1.54235375091527,-0.715095502694094
"417",0.474,-0.972371790674226,-0.0976070869399104,1.18962318027341,-0.64677536251696,0.456496211581845,0.116267709503647,0.508012499088521,0.377822557626707,-0.626012943399473,-0.473153996273527,-1.48054682289283,-1.60912544410802,-0.496637800917641,-0.684585364571465,-1.80635429264307,-0.791642876227787,1.11666474885922,-0.112664569542449
"418",0.474,-0.30809817636196,-0.558482288751835,0.16441690561906,-0.011223731448428,-0.329368485929225,-0.692067614486688,-0.711570143056867,-1.2379230126126,0.546628082393808,0.105670595700229,0.989495192103116,0.891051775806713,-0.633807688354968,-0.224950306812818,-0.554168712876546,1.6337042740601,-0.602463913290233,-0.474123129433436
"419",0.474,-0.374525537793186,0.593705715777977,0.16441690561906,-0.692171907593284,0.770842090586273,0.480811090911052,0.861349526252138,0.619087733273301,-0.321430858777842,-0.27182370341309,-0.245525815394855,0.0576593691684672,-0.934912319314953,-1.75706716600831,-0.692803544922126,-0.384859968109882,-0.602463913290233,-0.474123129433436
"420",0.471,-0.440952899224413,-0.635294822387156,0.392240522208914,0.124965903780543,-0.486541425431439,-0.961512722483466,-0.608988425493237,-1.15750128739707,-1.63113382265086,0.910991767141977,1.97751199810149,1.72444418244496,-0.770977575792294,-0.837797050491014,-1.11318013241517,1.28832255962037,0.461758591849903,-0.233150756172778
"421",0.469,-0.0423887306370536,-1.71067029328165,0.847887755388623,-2.00867171480667,-1.42957906244472,-1.67474977306317,-0.973723421275035,-1.31834473782813,1.36899971087221,1.51498264572329,0.0838131199379377,0.966814721864735,-0.673954972482966,-0.378161992732368,-0.424478063543585,0.436380997335698,-0.47148268188837,-0.715095502694094
"422",0.469,-0.50738026065564,-0.0207945533045896,1.18962318027341,0.351948629162162,-1.71249035354871,-0.533570492135642,-0.426620927602337,-0.543371749387559,0.607544499318134,-0.070493410552653,1.4835035951023,0.815288829748691,-0.00483357034966459,0.541108122784926,0.349193741097874,1.51857703591352,1.08391944100875,-0.594609316063765
